OntoKey,Keyword,Support,Negative Examples
version,versionID,19,
version,version,49,
doi,DOI,15,
doi,AdditionalInfo.AdditionalInfoType.DOI.DOI,2,
doi,doi,,
license,license.name,10,
license,license.label,10,
license,license,43,
license,license.URI,10,
license,DataAccessPolicy,,
publicationDate,pubDate,65,
publicationDate,date,903,
description,description,3469,
description,Extensive_Description_Of_The_Dataset,2,
intellectualRights,intellectualRights,66,
intellectualRights,intellectualRights.ulink.citetitle,18,
alternateIdentifier,alternateIdentifier,78,
alternateIdentifier,otherEntity.alternateIdentifier,13,
alternateIdentifier,identifier,127,
alternateIdentifier,homepage,,
language,language,83,
language,Language.Language,18,
dataFormat,format,1121,
dataFormat,resources.format,1,
dataFormat,Resources.Resource.OfflineResources.OfflineResource.dataFormat,250,
dataFormat,format name,13,
numberOfRecords,dataTable.numberOfRecords,,
numberOfRecords,numberOfRecords,,
citation,additionalMetadata.metadata.gbif.citation,18,
citation,additionalMetadata.metadata.gbif.bibliography.citation,6,
citation,references.citation,19,
citation,Additional_Information.How_To_Cite_Dataset,2,
keywordSet,keywords.keyword,328,keywordSet.keywordThesaurus
keywordSet,keywords,10213,keywords.@type
keywordSet,keywords.additionalKeywords.keyword,12,keywords.techKeyword
keywordSet,keywordSet,241,keywords.keyword.@id
keywordSet,keywordSet.keyword,241,
title,Title.Title,36,
title,reference.title,1,
title,Dataset_Title,2,
title,title,487,
abstract,References.Descriptions.Description.abstract,250,
abstract,Abstract.Abstract,18,
abstract,abstract,362,
abstract,Short_Abstract,2,
project_funding,project.funding,2,
project_funding,funder.funderName,12,
project_title,project.title,2,
project_title,project.name,6,
project_title,project,172,
project_title,project.label,6,
project_title,projectName,31,
project_startDate,Project.ProjectType.StartDate.StartDate,1,
project_abstract,project.abstract,2,
method_equipment,methodology.equipment.instruments,19,
method_equipment,methodology.equipment.calibration,19,
method_equipment,methodology.equipment.procedures,19,
method_introduction,methodology.introduction,19,
method_measurement,methods.measurements.equipment,12,
method_measurement,methodology.measurements.theory,19,
temporalCoverage_beginDate,coverage.temporalCoverage.startDate,12,
